,Eta=0,Eta=0.2
1,7.125603703,18.071159
2,6.320735687,17.27047756
3,8.347714056,14.04381122
4,4.091476355,17.8074293
5,8.804256058,18.96401748
6,5.762577164,12.06731756
7,6.314305918,19.06676074
8,6.665657815,19.5364956
9,7.330190909,16.71744983
10,6.965034774,17.17525331
11,5.847687433,14.79770652
12,6.283158,13.00700991
13,6.287947936,17.82307318
14,6.671031212,18.33415977
15,6.173304961,18.38177561
16,4.647326381,18.56623066
17,5.559632035,17.02256584
18,7.520062517,17.97209937
19,5.375423763,17.7506238
20,5.999716679,19.02039576
21,6.098400198,19.03073693
22,5.197857472,17.68532795
23,7.665909814,18.95475833
24,5.451548401,18.01294098
25,6.726271877,18.35592488
26,4.483366391,17.90264919
27,6.756804554,17.48398161
28,5.153599502,15.44161466
29,7.366322189,18.56294134
30,7.60214164,18.07091851
31,6.32155041,18.52827827
32,2.461305379,18.5626031
33,4.774971638,17.24060422
34,9.430760913,15.71094464
35,6.660620081,16.15887825
36,4.836380076,18.07485506
37,6.421966636,18.95188695
38,6.197232242,18.83530014
39,8.174312367,18.41823784
40,5.849668723,19.0590456
41,7.566359006,18.66921622
42,7.746797216,15.74230791
43,5.759751509,16.87159134
44,4.699401765,18.44937463
45,4.686903836,17.78379279
46,7.319384333,17.76477784
47,5.201453335,19.0767781
48,5.547513175,18.46347612
49,6.455072442,10.75470935
50,7.767790255,12.47219474
51,5.25856797,13.89341423
52,6.660446566,17.85484995
53,7.192122081,17.60379725
54,6.482257974,17.36164765
55,8.023965003,12.15072142
56,7.473983308,19.27840736
57,5.36165931,15.41411407
58,4.912237113,13.08983396
59,4.995239619,15.80251416
60,6.226591321,18.66783172
61,6.339669452,18.02993745
62,5.315109675,18.18676679
63,7.365089027,18.04626096
64,8.868068839,18.78533017
65,4.888350191,14.78604583
66,5.731670257,17.43563182
67,4.781960491,18.96222881
68,5.4233543,18.48068061
69,5.014605702,18.09609281
70,7.146197372,15.36443766
71,6.642040121,17.7960768
72,8.434094532,16.61472625
73,8.198369864,17.00051763
74,5.691083431,15.77469982
75,5.457541492,18.43556792
76,7.836798456,12.83324031
77,5.368231886,15.78100356
78,6.726557153,14.6640312
79,5.473106554,18.21282641
80,5.351648208,18.23707042
81,7.157076596,18.54453754
82,6.04571791,17.13979431
83,8.197413541,9.707518555
84,5.922809022,17.53527651
85,4.985284372,18.11373427
86,4.77490762,15.84121749
87,5.468412571,16.81515706
88,5.806699934,17.03627464
89,4.230556792,18.72600024
90,5.007165793,14.10269752
91,6.724537987,19.64962478
92,6.178239089,18.51846317
93,5.522598592,18.10858103
94,5.685055105,18.58631512
95,8.173614334,13.84772686
96,6.56881221,16.38479877
97,6.458332579,16.76840775
98,7.29102788,18.95742718
99,8.647544319,18.84855609
100,4.703423192,17.44329139
101,4.654425122,19.08823242
102,3.38136939,12.62052149
103,3.811872569,15.01892444
104,5.342412955,15.52459818
105,6.63224259,16.73356015
106,6.210753408,18.07135699
107,6.035589462,18.23148596
108,5.939286342,16.11720418
109,4.776690274,18.77008371
110,5.64266509,13.93777138
111,5.938129173,16.33737123
112,7.743227161,18.06653351
113,6.776684468,19.29560176
114,6.803029668,17.23918217
115,5.428080349,10.45485413
116,4.14251268,18.3845493
117,5.82895527,17.28236849
118,5.537008064,17.81347823
119,4.472288438,16.88505595
120,5.665387791,17.48447218
121,5.538340155,16.56236907
122,5.617428588,17.96907285
123,7.212742714,18.96046783
124,7.770273863,17.18406029
125,6.322351094,19.29198261
126,4.675823446,16.71499587
127,6.292774718,19.23082342
128,5.484101858,17.94174801
129,6.768113601,16.45122775
130,7.621433019,18.10705462
131,4.804539214,13.88613428
132,5.956752538,17.86513048
133,3.269355711,17.70989947
134,7.550175056,16.10870485
135,4.930803119,17.6775106
136,6.891759106,10.95232359
137,5.910425039,19.26274517
138,4.555558091,17.13685352
139,5.690728646,18.55796566
140,6.406877112,17.58190935
141,5.893861177,17.75126153
142,6.256310384,19.55765009
143,4.327259188,18.06894547
144,6.344662821,19.17904361
145,7.456725828,16.3487242
146,4.973913115,17.78404713
147,6.081394135,17.03402515
148,6.997019748,19.08496312
149,5.654874445,17.23743903
150,4.817703726,18.11192381
151,5.697848289,16.61507052
152,5.222621485,19.04174661
153,5.052966361,18.74356527
154,6.392741593,17.80187169
155,5.638180597,16.96882894
156,6.534314282,12.92895827
157,7.179843674,16.33865076
158,5.632989096,16.89367479
159,6.352019618,17.91780572
160,4.829794128,17.8617334
161,5.834003197,19.62801925
162,6.372190492,18.09794886
163,3.852736952,17.0130996
164,6.264641204,19.70827835
165,6.476234316,18.80140815
166,6.472014979,9.214229453
167,5.84347757,15.22237313
168,7.194221193,17.78498337
169,4.894745796,19.62558254
170,5.344021609,10.84351005
171,6.267700737,17.02758487
172,4.949536361,14.42189487
173,4.209298298,18.69795661
174,6.800906961,17.49968136
175,8.721510125,12.8623439
176,4.466737691,14.4428722
177,7.171740491,19.68296129
178,7.415332705,19.29531553
179,4.218972389,9.505771891
180,4.978372513,15.88847192
181,6.247634281,15.23567726
182,4.167987486,12.98104777
183,6.117635614,18.94137306
184,4.477266035,17.5011293
185,3.119971626,17.39869827
186,7.981847811,16.02309997
187,6.593009183,17.43060088
188,7.685043167,16.71606101
189,6.989494832,18.0110209
190,7.530359082,18.78773308
191,4.893337449,17.24847866
192,4.998494032,18.71012213
193,5.624826581,17.87361388
194,6.834670383,19.08216418
195,5.892123641,12.56209056
196,6.151634601,17.06089146
197,6.062110764,19.58151452
198,4.298153607,18.81881349
199,6.53572298,18.25122566
200,6.812256025,14.39123705
201,6.510182605,18.17493773
202,6.125746727,16.66806216
203,5.542157928,15.16280161
204,5.88749256,18.26336283
205,6.368051032,18.78122715
206,7.429102881,15.94314366
207,3.909615848,18.75051556
208,5.739894443,18.07902545
209,4.887983169,12.74378288
210,5.134823793,16.81350128
211,5.92530464,13.73004657
212,6.098532827,13.2115979
213,5.82980228,18.20244335
214,6.367999042,17.16925255
215,6.893774905,19.20720213
216,6.016703703,14.54601663
217,7.430029033,17.70876167
218,7.264926265,16.07196737
219,5.588353059,16.14679901
220,4.740546028,17.60548244
221,4.679971023,17.91981737
222,5.858108431,16.93833635
223,5.69567074,15.90776224
224,8.328804785,16.5220857
225,4.520480205,18.3254864
226,4.36753806,19.0169263
227,6.956234269,16.42080483
228,6.888894855,18.05199059
229,6.711717535,17.63879978
230,7.02357012,19.36865678
231,4.026022561,17.24714623
232,6.590456781,16.99346811
233,5.67782534,13.76201892
234,4.540052204,18.53883813
235,5.528886052,18.45350992
236,4.360063711,17.90923856
237,5.782777904,16.80095857
238,6.659051097,12.96033143
239,7.000531668,19.0141469
240,8.895802594,18.16078863
241,5.374250886,18.29030631
242,10.61713375,17.69499015
243,7.552946924,18.84374357
244,5.258823704,16.22593504
245,5.89951979,18.45013482
246,5.425459548,17.52859997
247,7.380446016,17.08476775
248,7.559982123,18.56196751
249,5.252595926,14.89570177
250,6.459889239,17.29538686
251,7.764010803,18.99975653
252,8.319597709,14.03913114
253,5.594878571,8.719542198
254,3.908954527,17.11435948
255,4.631416941,15.03533517
256,3.977865316,17.10922698
257,3.543635601,15.88940527
258,4.818521513,17.66506108
259,8.587511257,17.77630541
260,4.914899038,17.67397884
261,5.702807736,18.9773074
262,10.36036847,15.30033889
263,4.486090045,16.67643258
264,6.362454169,16.96659101
265,3.795398064,19.62408697
266,6.108886219,16.16293428
267,5.089410472,19.22863304
268,7.205226377,18.21619587
269,5.419687788,18.13898703
270,9.719642244,16.30954179
271,7.597680295,18.95557561
272,5.120161139,16.47263582
273,6.211858481,15.91472075
274,6.94671791,18.809974
275,4.396413551,15.67216086
276,5.585031597,18.30366373
277,5.057625304,18.73545587
278,5.483758256,19.15522961
279,5.090828453,17.99282302
280,4.741032664,17.91330691
281,6.328099366,19.13340408
282,5.105272357,15.25399321
283,7.007594773,15.73214604
284,5.376808362,18.87688679
285,6.48998758,18.54079011
286,6.616142526,18.07744685
287,4.538268257,13.06847216
288,6.353252078,11.05600826
289,5.631798462,17.68823675
290,4.562308687,17.66264527
291,5.363001642,16.09639535
292,5.278816133,17.95700677
293,6.494769345,18.16993697
294,6.339007253,19.17510727
295,4.633017555,18.65357467
296,7.001454084,19.02440249
297,5.490888345,19.63583252
298,3.398208036,19.00627423
299,5.852412123,19.62874943
300,4.683850154,15.024252
301,5.804328441,17.99103024
302,5.95076698,17.89040711
303,5.724595471,17.17201847
304,7.007585425,18.76113742
305,4.054060807,15.03374774
306,6.271346343,14.70429482
307,6.773819389,16.27638707
308,5.767264272,19.87253241
309,7.753949709,17.56120378
310,6.046428104,10.18548011
311,7.80651191,17.85797689
312,5.800064043,18.88773151
313,3.561560839,18.43418853
314,8.053389482,16.82511388
315,6.597980292,19.54425776
316,6.295564472,17.86322113
317,5.527079103,19.08170301
318,4.804180021,17.10171537
319,5.668997079,17.80736514
320,4.331905285,17.98539903
321,6.92574759,15.80046692
322,5.22101572,9.253397888
