,std(mu),Diversity
1,0.062587645,4.632041571
2,0.124677666,5.60054333
3,0.108260925,4.563203476
4,0.019475742,8.339524038
5,0.131582117,2.550540872
6,0.036836017,6.340790926
7,0.10908407,3.844236729
8,0.11567452,5.139443934
9,0.13657381,2.64639462
10,0.091024206,2.835482065
11,0.10903484,4.224043432
12,0.005172772,17.93857504
13,0.018708445,9.71470095
14,0.047308807,5.688036243
15,0.097827705,2.534548519
16,0.097661826,5.155342965
17,0.012734331,12.87730856
18,0.024409239,8.605983084
19,0.03865349,6.307552133
20,0.070096591,6.70075299
21,0.088749915,5.300418387
22,0.01326797,13.0880962
23,0.111254042,4.963740687
24,0.142571025,4.548105797
25,0.062914496,3.812181134
26,0.021147052,9.716802985
27,0.042234444,7.492316021
28,0.018045043,7.879939799
29,0.049852922,7.253109996
30,0.107564826,4.795711124
31,0.122369506,3.561153202
32,0.017476204,11.05439962
33,0.027459611,9.336418462
34,0.105054011,3.836396343
35,0.068599925,2.904161814
36,0.020419409,10.60154058
37,0.007594305,16.46873346
38,0.112436598,2.909442525
39,0.134394238,2.703861505
40,0.054680317,3.995777544
41,0.028130843,7.551333712
42,0.13744648,3.2246461
43,0.065832283,4.931769878
44,0.04037952,6.049411145
45,0.060556058,5.422964389
46,0.136311227,2.008048619
47,0.076982725,5.303051927
48,0.081981971,5.109880841
49,0.017458722,11.66973759
50,0.052443922,4.537805606
51,0.107475064,5.85270847
52,0.070861803,4.050797718
53,0.00085353,19.93670518
54,0.077177572,3.44824147
55,0.010691081,13.65927394
56,0.131063529,5.424099711
57,0.071052728,5.259860372
58,0.102763276,3.563682751
59,0.011636434,13.38662683
60,0.141293391,4.044723682
61,0.059595079,7.439557914
62,0.05106995,6.651424402
63,0.006848048,15.34839571
64,0.042539924,7.617605732
65,0.129632021,3.264590791
66,0.103882199,4.231147658
67,0.104372818,4.030791249
68,0.036094615,7.999191168
69,0.135869347,3.642758099
70,0.129516582,3.388219625
71,0.006615149,17.14086135
72,0.125652865,7.909710839
73,0.033922375,4.970647926
74,0.020069741,8.460341624
75,0.051135379,5.034592095
76,0.02161254,9.784023345
77,0.113405293,5.03354081
78,0.093625123,5.141748611
79,0.036818452,5.243101861
80,0.115460659,4.274522597
81,0.000698075,19.95683113
82,0.024166171,6.957525315
83,0.036095345,9.117555108
84,0.03015806,5.960779767
85,0.047305966,6.024709352
86,0.159798846,4.986484051
87,0.006254625,17.41267167
88,0.097943072,3.752208483
89,0.004445824,18.55227911
90,0.086675243,4.795247853
91,0.094661087,5.549079655
92,0.004838298,18.36773546
93,0.11945836,4.335803409
94,0.041607668,6.428925793
95,0.128896175,3.607625903
96,0.066209176,3.689318931
97,0.051880102,5.140627489
98,0.117286829,3.856085804
99,0.066611835,6.186064602
100,0.000219663,19.99574484
101,0.007138569,16.50041101
102,0.066642169,5.477816261
103,0.038779515,6.948891055
104,0.062053283,4.790238859
105,0.039319834,4.774810105
106,0.087198821,4.646135545
107,0.079316015,4.683611474
108,0.136545462,3.700665055
109,0.140747831,4.467359665
110,0.071870659,4.570276871
111,0.012535307,12.71210024
112,0.021959124,10.64313033
113,0.044883118,3.159971699
114,0.025783992,6.846384977
115,0.007390562,16.60357061
116,0.023396191,9.777087934
117,0.066183398,3.320499844
118,0.002802562,19.32366449
119,0.003549646,18.98124076
120,0.008660183,15.08862245
121,0.017465235,11.25309619
122,9.30E-05,19.99923816
123,0.139059943,3.886931571
124,0.0862659,3.696076537
125,0.075637779,5.699326741
126,0.102717269,3.020169604
127,0.108619067,3.289958045
128,0.090061545,4.287494456
129,0.024398659,9.560051411
130,0.023970749,7.129542265
131,0.009303776,14.30031076
132,0.079880629,6.13835741
133,0.13707048,4.639594952
134,0.052938805,6.068991418
135,0.051306456,6.807465731
136,0.117768575,4.14285925
137,0.070909966,3.167652923
138,0.032121517,7.656138658
139,0.034778591,5.611983752
140,0.122911462,4.4424076
141,0.10686711,2.23989309
142,0.083452564,5.899945877
143,0.045894846,4.374882712
144,0.046144642,3.860793076
145,0.094144455,4.008086404
146,0.021716356,8.140448584
147,0.05047774,4.909116339
148,0.039397169,5.386609202
149,0.044303523,6.060662812
150,0.023664296,8.052757775
151,0.057019115,4.516562209
152,0.0387494,5.672640713
153,0.052091198,3.609516348
154,0.155842706,5.037311416
155,0.116953111,3.133160311
156,0.122337539,6.034839344
157,0.017230008,9.993084659
158,0.065469348,6.395934156
159,0.084926569,5.216051398
160,0.067651132,4.979982796
161,0.068204484,4.007051878
162,0.101440795,2.336417731
163,0.067930935,3.019795144
164,0.048970323,4.912440588
165,0.073955159,4.451390125
166,0.000862031,19.93525027
167,0.031401852,7.11286397
168,0.058956794,4.447765123
169,0.112398654,3.704036879
